taxonID	parentNameUsageID	canonicalName	taxonRank
2404482	2404478	Myrichthys ocellatus	species
2404869	2404854	Ichthyapus ophioneus	species
2404867	2404854	Ichthyapus selachops	species
2415381	2415380	Eurypharynx pelecanoides	species
2391871	2391864	Lonchopisthus micrognathus	species
2391865	2391864	Lonchopisthus higmani	species
2391866	2391864	Lonchopisthus sinuscalifornicus	species
2391837	2391754	Opistognathus lonchurus	species
2391852	2391754	Opistognathus maxillosus	species
2391777	2391754	Opistognathus robinsi	species
2391791	2391754	Opistognathus whitehursti	species
2391774	2391754	Opistognathus aurifrons	species
2368613	2368597	Parexocoetus hillianus	species
5207913	5207912	Cypselurus comatus	species
2368625	2368619	Prognichthys glaphyrae	species
2368623	2368619	Prognichthys occidentalis	species
2368621	2368619	Prognichthys gibbifrons	species
5207984	2368477	Cheilopogon exsiliens	species
5207955	2368477	Cheilopogon melanurus	species
5207948	2368477	Cheilopogon cyanopterus	species
2387109	2387108	Pinguipes brasilianus	species
5209994	5209966	Parapercis millepunctata	species
2368660	2368646	Exocoetus obtusirostris	species
2368680	2368676	Hirundichthys affinis	species
2368689	2368676	Hirundichthys speculiger	species
9591512	2368676	Hirundichthys volador	species
5204677	2356469	Ijimaia antillarum	species
2406528	2406526	Allomycterus pilatus	species
5213374	2406531	Diodon hystrix	species
5213375	2406531	Diodon eydouxii	species
2406483	2406482	Chilomycterus antillarum	species
4284297	2406482	Chilomycterus spinosus	species
2406494	2406482	Chilomycterus schoepfii	species
2406491	2406482	Chilomycterus antennatus	species
2406485	2406482	Chilomycterus reticulatus	species
2406510	2406509	Lophodiodon calori	species
2403010	2351975	Moringua edwardsi	species
2403044	2403041	Neoconger mucronatus	species
2401149	2401132	Saurida normani	species
2401157	2401132	Saurida brasiliensis	species
2401140	2401132	Saurida suspicio	species
5212628	2352256	Synodus poeyi	species
5212670	2352256	Synodus dermatogenys	species
5212640	2352256	Synodus ulae	species
5212646	2352256	Synodus falcatus	species
5212691	2352256	Synodus synodus	species
5212673	2352256	Synodus intermedius	species
5212655	2352256	Synodus saurus	species
5212639	2352256	Synodus variegatus	species
5212651	2352256	Synodus foetens	species
5212618	2352256	Synodus myops	species
2357104	2357099	Aulotrachichthys argyrophanus	species
2357088	2357084	Gephyroberyx darwinii	species
2357118	2356708	Hoplostethus mediterraneus	species
2389693	7846171	Antigonia capros	species
2389686	7846171	Antigonia combatia	species
2389521	2389490	Malacoctenus triangulatus	species
5961738	2389490	Malacoctenus brunoi	species
2389519	2389490	Malacoctenus boehlkei	species
2389507	2389490	Malacoctenus erdmani	species
2389506	2389490	Malacoctenus aurolineatus	species
2389514	2389490	Malacoctenus gilli	species
2389497	2389490	Malacoctenus macropus	species
2389491	2389490	Malacoctenus versicolor	species
2389500	2389490	Malacoctenus delalandii	species
7803328	4576287	Gobioclinus bucciferus	species
8121309	4576287	Gobioclinus filamentosus	species
7577389	4576287	Gobioclinus guppyi	species
8399964	4576287	Gobioclinus kalisherae	species
7422444	4576287	Gobioclinus gobio	species
8347526	4817513	Brockius nigricinctus	species
2389620	2389606	Paraclinus naeorhegmis	species
2389636	2389606	Paraclinus barbatus	species
2389634	2389606	Paraclinus spectator	species
2389610	2389606	Paraclinus nigripinnis	species
2389617	2389606	Paraclinus grandicomis	species
2389626	2389606	Paraclinus fasciatus	species
2389640	2389606	Paraclinus marmoratus	species
2389615	2389606	Paraclinus cingulatus	species
2389655	2389643	Labrisomus cricota	species
2389652	2389643	Labrisomus conditus	species
2389661	2389643	Labrisomus nuchipinnis	species
2389603	2389602	Nemaclinus atelestos	species
2389557	2389527	Starksia atlantica	species
2389530	2389527	Starksia nanodes	species
2389531	2389527	Starksia melasma	species
2389543	2389527	Starksia lepicoelia	species
2389563	2389527	Starksia hassi	species
2389538	2389527	Starksia smithvanizi	species
5853588	2389527	Starksia weigti	species
5853587	2389527	Starksia williamsi	species
2389554	2389527	Starksia elongata	species
5853585	2389527	Starksia springeri	species
2389546	2389527	Starksia ocellata	species
2389535	2389527	Starksia sluiteri	species
2389558	2389527	Starksia culebrae	species
2389555	2389527	Starksia brasiliensis	species
9346649	2382564	Haemulopsis corvinaeformis	species
2382601	2382592	Anisotremus taeniatus	species
2382596	2382592	Anisotremus virginicus	species
2382604	2382592	Anisotremus moricandi	species
2382615	2382592	Anisotremus surinamensis	species
2382789	2382788	Genyatremus luteus	species
2382797	2382792	Orthopristis chrysoptera	species
2382811	2382792	Orthopristis ruber	species
2382922	2382821	Pomadasys striatus	species
2382843	2382821	Pomadasys crocro	species
2382523	2382500	Haemulon album	species
2382516	2382500	Haemulon squamipinna	species
2382506	2382500	Haemulon carbonarium	species
2382528	2382500	Haemulon aurolineatum	species
2382533	2382500	Haemulon bonariense	species
2382524	2382500	Haemulon chrysargyreum	species
2382517	2382500	Haemulon macrostomum	species
2382501	2382500	Haemulon flaviguttatum	species
2382511	2382500	Haemulon parra	species
2382546	2382500	Haemulon steindachneri	species
2382543	2382500	Haemulon sciurus	species
2382537	2382500	Haemulon plumierii	species
2382519	2382500	Haemulon serrula	species
2382540	2382500	Haemulon melanurum	species
7193166	2382500	Haemulon vittatum	species
2382504	2382500	Haemulon boschmae	species
2382535	2382500	Haemulon maculicauda	species
2382507	2382500	Haemulon striatum	species
2382521	2382500	Haemulon flavolineatum	species
2382784	2382781	Conodon nobilis	species
2395117	2390459	Emmelichthyops atlanticus	species
2397850	2397849	Xiphias gladius	species
2351687	2351681	Gyrinomimus bruuni	species
2351675	2351674	Cetostoma regani	species
2351679	2351678	Ditropichthys storeri	species
2403113	2403112	Pseudophichthys splendens	species
2381358	2381356	Protemblemaria punctata	species
2403215	2403171	Ariosoma gilberti	species
2403180	2403171	Ariosoma balearicum	species
2401051	2401049	Scopelosaurus smithii	species
2403538	10061929	Conger triporiceps	species
2403522	10061929	Conger oceanicus	species
2381461	2381458	Coralliozetus cardonae	species
2403429	2403418	Rhynchoconger flavus	species
2403139	2403127	Heteroconger luteolus	species
2403141	2403127	Heteroconger longissimus	species
2403156	2403127	Heteroconger pellegrini	species
2401045	2401043	Ahliesaurus berryi	species
2403154	2403127	Heteroconger camelopardalis	species
2403157	2403127	Heteroconger hassi	species
2403147	2403127	Heteroconger digueti	species
2403467	2403464	Xenomystax bidentatus	species
2403395	2403344	Bathycongrus thysanochilus	species
2381413	2381412	Lucayablennius zingaro	species
2381379	2381368	Acanthemblemaria rivasi	species
2381369	2381368	Acanthemblemaria maria	species
2381390	2381368	Acanthemblemaria medusa	species
2381380	2381368	Acanthemblemaria chaplini	species
2381391	2381368	Acanthemblemaria betinensis	species
2381382	2381368	Acanthemblemaria spinosa	species
2381384	2381368	Acanthemblemaria aspera	species
2381497	2381495	Stathmonotus gymnodermis	species
2381504	2381495	Stathmonotus hemphillii	species
2381498	2381495	Stathmonotus stahli	species
2381433	2381431	Emblemariopsis randalli	species
2381449	2381431	Emblemariopsis ruetzleri	species
2381448	2381431	Emblemariopsis occidentalis	species
