taxonID	parentNameUsageID	canonicalName	taxonRank
5278919	2665450	Gracilaria cuneata	species
5710363	2665450	Gracilaria flabelliformis	species
5278994	2665450	Gracilaria blodgettii	species
5710369	2665450	Gracilaria domingensis	species
5278883	2665450	Gracilaria venezuelensis	species
5278906	2665450	Gracilaria tikvahiae	species
5278937	2665450	Gracilaria ornata	species
5278953	2665450	Gracilaria mammillaris	species
5278940	2665450	Gracilaria curtissiae	species
5710358	2665450	Gracilaria intermedia	species
5279037	2665450	Gracilaria damaecornis	species
5729946	2665450	Gracilaria isabellana	species
5278876	2665450	Gracilaria occidentalis	species
5278972	2665450	Gracilaria debilis	species
5278964	2665450	Gracilaria vermiculophylla	species
5278945	2665450	Gracilaria bursa-pastoris	species
5278820	2665450	Gracilaria corticata	species
5278985	2665450	Gracilaria cervicornis	species
5278856	2665450	Gracilaria textorii	species
5272029	2642534	Bryopsis plumosa	species
5272051	2642534	Bryopsis hypnoides	species
5272023	2642534	Bryopsis ramulosa	species
5272060	2642534	Bryopsis pennata	species
5279184	2666400	Contarinia magdae	species
2666395	2666394	Ochtodes secundiramea	species
2654787	2654735	Hydrolithon boreale	species
2654737	2654735	Hydrolithon farinosum	species
5271397	8321511	Palmophyllum crassum	species
5271403	8321511	Palmophyllum umbracola	species
2665377	2665375	Hildenbrandia rubra	species
5273537	2646102	Ulvella lens	species
7959677	2646102	Ulvella viridis	species
7543203	2646102	Ulvella scutata	species
2667338	2667336	Petroglossum undulatum	species
2667139	2667111	Gymnogongrus griffithsiae	species
2667116	2667111	Gymnogongrus tenuis	species
2667130	2667111	Gymnogongrus crenulatus	species
5271513	2639778	Syncoryne reinkei	species
5278375	6008812	Colaconema dasyae	species
10799710	6008812	Colaconema subtilissimum	species
8162762	6008812	Colaconema hypneae	species
7769367	6008812	Colaconema hallandicum	species
7400073	6008812	Colaconema gracile	species
5273454	9408069	Ulva linza	species
5273379	9408069	Ulva chaetomorphoides	species
5273443	9408069	Ulva reticulata	species
5273416	9408069	Ulva rigida	species
5273309	9408069	Ulva lactuca	species
5273394	9408069	Ulva intestinalis	species
5273507	9408069	Ulva flexuosa	species
5273366	9408069	Ulva prolifera	species
9402904	9408069	Ulva clathrata	species
5273322	9408069	Ulva compressa	species
5729880	9408069	Ulva polyclada	species
7453386	9408069	Ulva belangeri	species
2645631	2645629	Percursaria percursa	species
2666897	8364552	Schimmelmannia plumosa	species
5272974	2644664	Microdictyon boergesenii	species
5272978	2644664	Microdictyon pseudohapteron	species
5729864	2644664	Microdictyon vanbosseae	species
5272989	2644664	Microdictyon marinum	species
5272975	2644664	Microdictyon umbilicatum	species
5272981	2644664	Microdictyon calodictyon	species
9957153	2644630	Willeella brachyclados	species
2644632	2644630	Willeella ordinata	species
